Corriente (mA),Error Corriente (mA),Tension (V),Error Tension (V)
1.000,0.002,0.000,0.001
2.000,0.004,0.575,"4,0000000"
3.000,0.006,0.620,0.004
4.000,0.008,0.643,0.004
5.00,0.01,0.658,0.004
6.00,0.01,0.669,0.004
7.00,0.01,0.678,0.004
8.00,0.02,0.685,0.004
9.00,0.02,0.692,0.004
10.00,0.02,0.697,0.004
11.00,0.02,0.702,0.005
12.00,0.02,0.707,0.005
13.00,0.03,0.711,0.005
14.00,0.03,0.714,0.005
15.00,0.03,0.717,0.005
16.00,0.03,0.720,0.005
17.00,0.03,0.723,0.005
18.00,0.04,0.725,0.005
19.00,0.04,0.728,0.005
20.00,0.04,0.730,0.005
21.00,0.04,0.733,0.005
22.00,0.04,0.734,0.005
23.00,0.05,0.736,0.005
24.00,0.05,0.738,0.005
25.00,0.05,0.740,0.005
26.00,0.05,0.741,0.005
27.00,0.05,0.743,0.005
28.00,0.06,0.745,0.005
29.00,0.06,0.746,0.005
30.00,0.06,0.748,0.005